message,importance,author
"Final meeting for event planning committee.",High,Event Organizer
"Notice: Book donations for the library are welcome.",Moderate,Librarian
"Reminder: Health and wellness workshop this Friday.",Moderate,Health Services
"Feedback on campus dining services requested.",Moderate,Admin
"Campus cleanup day scheduled for Saturday.",Moderate,Admin
"Reminder: Check your email for important updates.",High,Admin
"Guest speaker series on mental health awareness.",Moderate,Counseling Center
"Notice: Science fair details will be posted soon.",Moderate,Admin
"Final reminder: Pay tuition fees by the end of the month.",High,Finance Office
"Important: Change in the exam schedule.",High,Admin
"Free counseling services available for all students.",Moderate,Counseling Center
"Reminder: Bring your own materials for the art workshop.",Moderate,Art Department
"Notice: Early dismissal next Friday.",Moderate,Admin
"Update: Changes in the faculty office hours.",Moderate,Admin
"Free trial classes for new fitness programs.",Moderate,Sports Coordinator
"Guest artist exhibition opening this week.",Moderate,Art Department
"Reminder: Submit your enrollment verification forms.",High,Admin
"Important: New registration process for classes.",High,Admin
"Final presentations for group projects next week.",High,Faculty
"Notice: New policies for remote learning in place.",High,Admin
"Last call for volunteering at the upcoming festival.",Moderate,Event Organizer
"Feedback needed on recent campus events.",Moderate,Admin
